,팀명,경기날짜,결과,이름,공격종합_성공률,오픈_성공률,시간차_성공률,이동_성공률,후위_성공률,속공_성공률,퀵오픈_성공률,서브_성공률,범실_범실,포지션,득점점유율,스타팅멤버
0,IBK기업은행,2017-10-14,0,메디,29.85,26.83,100.0,0.0,8.33,0.0,45.45,0.2,7,L,0.34782608695652173,1
1,IBK기업은행,2017-10-14,0,고예림,30.0,12.0,0.0,0.0,0.0,0.0,60.0,0.6,6,L,0.21739130434782608,1
2,IBK기업은행,2017-10-14,0,김희진,27.78,20.0,44.44,0.0,0.0,0.0,50.0,0.2,6,R,0.21739130434782608,1
3,IBK기업은행,2017-10-14,0,김미연,31.25,16.67,0.0,33.33,0.0,0.0,60.0,0.0,1,L,0.10144927536231885,1
4,IBK기업은행,2017-10-14,0,김수지,25.0,0.0,50.0,25.0,0.0,16.67,0.0,0.2,3,C,0.08695652173913043,1
5,IBK기업은행,2017-10-14,0,이고은,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2,S,0.014492753623188406,0
6,IBK기업은행,2017-10-14,0,염혜선,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,S,0.014492753623188406,1
7,IBK기업은행,2017-10-14,0,김혜선,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Li,0.0,0
0,흥국생명,2017-10-14,1,심슨,41.9,34.0,83.33,0.0,46.51,0.0,33.33,0.0,13,L,0.5853658536585366,1
1,흥국생명,2017-10-14,1,이재영,24.39,21.88,33.33,0.0,20.0,0.0,100.0,0.2,3,L,0.15853658536585366,1
2,흥국생명,2017-10-14,1,정시영,30.0,0.0,0.0,40.0,0.0,33.33,0.0,0.2,3,R,0.0975609756097561,1
3,흥국생명,2017-10-14,1,이한비,21.05,20.0,0.0,0.0,0.0,0.0,33.33,0.0,4,L,0.04878048780487805,0
4,흥국생명,2017-10-14,1,김나희,18.18,0.0,0.0,0.0,0.0,28.57,0.0,0.0,1,C,0.036585365853658534,1
5,흥국생명,2017-10-14,1,조송화,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,S,0.036585365853658534,1
6,흥국생명,2017-10-14,1,공윤희,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,R,0.036585365853658534,0
8,흥국생명,2017-10-14,1,신연경,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,L,0.0,1
9,흥국생명,2017-10-14,1,김해란,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Li,0.0,0
10,흥국생명,2017-10-14,1,남지연,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,L,0.0,0
11,흥국생명,2017-10-14,1,한지현,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,L,0.0,0
0,KGC인삼공사,2017-10-15,0,알레나,38.89,37.7,0.0,0.0,40.0,0.0,50.0,0.0,5,R,0.5641025641025641,1
1,KGC인삼공사,2017-10-15,0,한송이,32.35,31.25,33.33,0.0,0.0,0.0,33.33,0.0,1,L,0.16666666666666666,1
2,KGC인삼공사,2017-10-15,0,유희옥,28.57,50.0,0.0,0.0,0.0,20.0,0.0,0.2,1,C,0.0641025641025641,1
3,KGC인삼공사,2017-10-15,0,최수빈,13.79,9.52,0.0,0.0,0.0,0.0,25.0,0.0,3,L,0.05128205128205128,1
4,KGC인삼공사,2017-10-15,0,이재은,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.4,2,S,0.05128205128205128,1
5,KGC인삼공사,2017-10-15,0,이선정,20.0,20.0,0.0,25.0,0.0,0.0,0.0,0.0,1,C,0.038461538461538464,1
6,KGC인삼공사,2017-10-15,0,박상미,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.5,0,L,0.038461538461538464,0
7,KGC인삼공사,2017-10-15,0,지민경,22.22,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0,L,0.02564102564102564,0
10,KGC인삼공사,2017-10-15,0,오지영,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Li,0.0,0
0,현대건설,2017-10-15,1,엘리자베스,41.46,36.0,60.0,0.0,50.0,0.0,40.0,0.2,8,L,0.37254901960784315,1
1,현대건설,2017-10-15,1,황연주,44.19,35.29,33.33,0.0,50.0,0.0,53.85,0.2,5,R,0.20588235294117646,1
2,현대건설,2017-10-15,1,양효진,43.48,33.33,23.08,0.0,0.0,85.71,0.0,0.4,5,C,0.1568627450980392,1
